STOCK,Date,D.perc_chg_x,D.MP20,D.MP50,D.MP200,D.MCo,D.RSI,D.MACD,D.per_volume_change_x,D.open_equals_high,D.open_equals_low,M.Prev_month_PerChange,M.Prev_Prev_month_PerChange,M.perc_chg_x,M.MP20,M.MP50,M.MP200,M.MCo,M.RSI,M.MACD,M.per_volume_change_x,M.open_equals_high,M.open_equals_low,W.Prev_week_PerChange,W.Prev_Prev_week_PerChange,W.perc_chg_x,W.MP20,W.MP50,W.MP200,W.MCo,W.RSI,W.MACD,W.per_volume_change_x,W.open_equals_high,W.open_equals_low,D.perc_chg_y,D.per_volume_change_y,D.PDEMA20,D.PDEMA50,D.PDSMA200,D.EMA20D50,D.EMA20D200,D.EMA50D200,D.RISING_RSI,D.RISING_LTP,D.DECLINING_RSI,D.DECLINING_LTP,D.RISING_VOLUME,D.DECLINING_VOLUME,M.perc_chg_y,M.per_volume_change_y,M.PDEMA20,M.PDEMA50,M.PDSMA200,M.EMA20D50,M.EMA20D200,M.EMA50D200,M.RISING_RSI,M.RISING_LTP,M.DECLINING_RSI,M.DECLINING_LTP,M.RISING_VOLUME,M.DECLINING_VOLUME,W.perc_chg_y,W.per_volume_change_y,W.PDEMA20,W.PDEMA50,W.PDSMA200,W.EMA20D50,W.EMA20D200,W.EMA50D200,W.RISING_RSI,W.RISING_LTP,W.DECLINING_RSI,W.DECLINING_LTP,W.RISING_VOLUME,W.DECLINING_VOLUME
3MINDIA,2023-02-08,0.95,DPA20,DPA50,DPA200,DBUCO,55.96,ABV BUCO,1211.28,False,False,-1.84,6.32,-0.91,MPA20,MPA50,MPB200,MBUCO,51.76,ABV BECO,-50.09,False,False,-0.58,1.92,0.37,WPA20,WPA50,WPA200,WBUCO,52.85,ABV BECO,80.06,False,False,0.95,1211.28,1.46,1.43,3.89,-0.04,2.46,2.5,True,True,False,False,True,False,-0.91,-50.09,1.09,5.56,,4.52,,,False,False,False,False,False,False,0.37,80.06,1.25,1.59,3.73,0.35,2.51,2.17,True,True,False,False,True,False
AARTIDRUGS,2023-02-08,0.23,DPB20,DPB50,DPB200,DBECO,32.73,BLW BECO,-48.27,False,False,-1.9,-12.85,-1.67,MPB20,MPB50,MPB200,MBUCO,41.26,BLW BECO,-29.56,False,False,-6.17,2.22,-5.95,WPB20,WPB50,WPB200,WBECO,33.55,BLW BECO,-57.46,False,False,0.23,-48.27,-5.56,-9.89,-11.62,-4.11,-5.75,-1.58,False,False,False,False,False,True,-1.67,-29.56,-18.13,-6.29,,10.03,,,False,False,True,True,False,True,-5.95,-57.46,-11.64,-17.27,-11.6,-5.05,0.03,4.84,False,False,False,False,False,False
AAVAS,2023-02-08,1.68,DPA20,DPA50,DPB200,DBUCO,61.33,ABV BUCO,-52.45,False,False,8.21,-1.98,10.03,MPB20,MPA50,MPB200,MBUCO,47.74,BLW BECO,-70.42,False,False,-2.05,5.74,-0.4,WPA20,WPB50,WPA200,WBECO,49.52,BLW BUCO,-74.27,False,False,1.68,-52.45,4.92,4.67,-3.68,-0.27,-9.04,-8.75,False,False,False,False,False,True,10.03,-70.42,-7.62,5.06,,11.79,,,False,False,False,False,False,False,-0.4,-74.27,1.58,-5.69,1.46,-7.38,-0.12,6.76,False,False,False,False,False,False
ABB,2023-02-08,1.85,DPA20,DPA50,DPA200,DBECO,66.92,ABV BUCO,10.23,False,False,6.48,5.83,8.45,MPA20,MPA50,MPB200,MBUCO,66.72,ABV BUCO,-55.68,False,False,7.76,0.09,9.75,WPA20,WPA50,WPA200,WBUCO,57.7,ABV BECO,-33.46,False,False,1.85,10.23,6.05,5.76,9.59,-0.31,3.76,4.06,True,True,False,False,True,False,8.45,-55.68,19.22,35.42,,20.06,,,True,True,False,False,False,True,9.75,-33.46,5.56,12.03,43.49,6.85,40.17,35.77,True,True,False,False,False,False
ABBOTINDIA,2023-02-08,1.37,DPB20,DPA50,DPA200,DBUCO,50.03,BLW BECO,2.81,False,False,0.84,-2.57,2.22,MPA20,MPA50,MPB200,MBUCO,64.48,ABV BUCO,-83.87,False,False,0.57,-1.6,1.95,WPA20,WPA50,WPA200,WBUCO,58.77,ABV BUCO,-69.06,False,False,1.37,2.81,0.11,0.99,9.4,0.88,9.29,8.49,True,True,False,False,True,False,2.22,-83.87,11.3,25.93,,16.49,,,False,False,False,False,False,True,1.95,-69.06,3.39,8.4,25.12,5.19,22.5,18.26,False,False,False,False,False,False
ABCAPITAL,2023-02-08,1.92,DPA20,DPA50,DPA200,DBECO,56.58,BLW BUCO,28.29,False,False,3.12,-5.99,5.1,MPA20,MPA50,MPB200,MBUCO,61.73,ABV BUCO,-63.34,False,False,2.72,4.46,4.69,WPA20,WPA50,WPA200,WBUCO,61.29,ABV BECO,-41.25,False,False,1.92,28.29,3.04,3.82,20.07,0.8,17.56,16.89,False,False,False,False,False,False,5.1,-63.34,19.21,22.04,,3.5,,,False,False,False,False,False,True,4.69,-41.25,8.19,16.3,33.38,8.83,27.43,20.4,True,True,False,False,False,False
ABFRL,2023-02-08,-0.48,DPB20,DPB50,DPB200,DBECO,33.81,BLW BUCO,-38.11,False,False,-1.95,-10.73,-2.42,MPB20,MPA50,MPB200,MBUCO,48.7,ABV BECO,-51.57,False,False,0.46,-0.02,-0.02,WPB20,WPB50,WPA200,WBECO,32.32,BLW BECO,16.51,False,False,-0.48,-38.11,-3.59,-10.43,-15.26,-6.6,-11.27,-4.38,False,False,True,True,False,False,-2.42,-51.57,-7.37,7.04,,13.42,,,False,False,True,True,False,True,-0.02,16.51,-13.63,-13.25,12.05,0.33,22.6,22.34,False,False,True,True,True,False
ABSLAMC,2023-02-08,0.02,DPB20,DPB50,DPB200,DBECO,19.97,BLW BECO,53.44,False,False,-3.58,-7.71,-3.56,MPB20,MPB50,MPB200,MBECO,14.73,BLW BECO,-75.62,False,False,-0.37,-4.9,-0.34,WPB20,WPB50,WPB200,WBECO,36.78,BLW BECO,-62.73,False,False,0.02,53.44,-5.39,-7.82,-9.23,-2.31,-3.64,-1.31,False,False,False,False,False,False,-3.56,-75.62,-20.83,-38.11,,-14.3,,,False,False,True,True,False,True,-0.34,-62.73,-7.69,-15.28,,-7.05,,,False,False,True,True,False,True
ACC,2023-02-08,-1.02,DPB20,DPB50,DPB200,DBECO,34.97,BLW BECO,-45.08,False,False,1.31,-19.38,0.28,MPB20,MPA50,MPB200,MBUCO,45.9,ABV BECO,9.95,False,False,3.49,2.5,2.44,WPB20,WPB50,WPA200,WBUCO,36.38,BLW BECO,-71.19,False,False,-1.02,-45.08,-7.03,-15.3,-17.11,-7.73,-9.42,-1.57,False,False,False,False,False,False,0.28,9.95,-9.99,0.37,,9.42,,,False,False,False,False,True,False,2.44,-71.19,-15.74,-15.32,6.16,0.36,18.93,18.63,True,True,False,False,False,False
ADANIENT,2023-02-08,20.04,DPB20,DPB50,DPB200,DBECO,33.67,BLW BECO,-0.09,False,False,-39.37,-22.92,-27.23,MPB20,MPA50,MPB200,MBUCO,50.3,ABV BECO,87.82,False,False,13.62,-42.54,36.39,WPB20,WPB50,WPA200,WBUCO,35.73,BLW BECO,-53.64,False,False,20.04,-0.09,-24.86,-49.1,-40.48,-19.42,-12.52,5.78,True,True,False,False,False,True,-27.23,87.82,-11.59,28.59,,36.01,,,False,False,True,True,True,False,36.39,-53.64,-47.85,-33.39,43.88,9.78,62.05,57.93,False,False,False,False,False,False
ADANIGREEN,2023-02-08,-5.0,DPB20,DPB50,DPB200,DBECO,14.9,BLW BECO,-19.1,False,False,-30.99,-36.64,-34.44,MPB20,MPB50,MPB200,MBUCO,39.38,ABV BECO,-42.66,False,False,-9.75,-37.03,-14.26,WPB20,WPB50,WPB200,WBECO,21.52,BLW BECO,-14.17,False,False,-5.0,-19.1,-73.65,-112.25,-159.87,-22.23,-49.65,-22.44,False,False,True,True,False,False,-34.44,-42.66,-102.69,-43.68,,29.11,,,False,False,True,True,False,False,-14.26,-14.17,-121.86,-133.96,-27.8,-5.45,42.4,45.38,False,False,True,True,False,False
ADANIPORTS,2023-02-08,8.33,DPB20,DPB50,DPB200,DBECO,38.78,BLW BECO,-33.32,False,True,-9.71,-25.11,-2.19,MPB20,MPB50,MPB200,MBUCO,44.0,ABV BECO,59.25,False,False,10.89,-16.43,20.13,WPB20,WPB50,WPA200,WBECO,35.57,BLW BECO,-66.17,False,False,8.33,-33.32,-7.98,-23.2,-32.68,-14.1,-22.87,-7.69,True,True,False,False,False,False,-2.19,59.25,-19.35,-1.68,,14.81,,,False,False,True,True,True,False,20.13,-66.17,-26.61,-28.87,3.98,-1.79,24.16,25.49,False,False,False,False,False,False
ADANITRANS,2023-02-08,5.0,DPB20,DPB50,DPB200,DBECO,19.75,BLW BECO,-46.31,False,False,-29.41,-31.49,-25.89,MPB20,MPB50,MPB200,MBUCO,43.0,ABV BECO,-63.43,False,False,-10.3,-30.69,-5.82,WPB20,WPB50,WPA200,WBECO,26.68,BLW BECO,-62.32,False,False,5.0,-46.31,-49.76,-81.19,-117.11,-20.99,-44.98,-19.83,False,False,False,False,False,False,-25.89,-63.43,-65.12,-11.49,,32.48,,,False,False,True,True,False,False,-5.82,-62.32,-91.77,-95.51,7.57,-1.95,51.8,52.72,False,False,True,True,False,False
AEGISCHEM,2023-02-08,-1.32,DPA20,DPA50,DPA200,DBUCO,53.03,ABV BUCO,-68.07,True,False,-4.38,9.78,-5.63,MPA20,MPA50,MPB200,MBUCO,63.7,ABV BUCO,-52.94,False,False,-0.61,10.01,-1.92,WPA20,WPA50,WPA200,WBUCO,61.51,ABV BECO,-92.52,True,False,-1.32,-68.07,1.04,4.13,22.75,3.13,21.94,19.42,False,False,False,False,False,False,-5.63,-52.94,21.2,29.83,,10.96,,,False,False,False,False,False,True,-1.92,-92.52,9.33,19.22,33.76,10.91,26.95,18.0,False,False,False,False,False,False
AETHER,2023-02-08,1.7,DPA20,DPA50,DPB200,DBECO,55.36,ABV BECO,61.51,False,False,-1.12,6.13,0.57,MPA20,MPA50,MPB200,MBUCO,86.82,ABV BUCO,-90.99,False,False,1.08,-0.72,2.81,WPA20,WPA50,WPB200,WBUCO,53.49,ABV BECO,-57.24,False,False,1.7,61.51,1.63,1.36,,-0.28,,,True,True,False,False,True,False,0.57,-90.99,6.09,9.5,,3.64,,,True,True,False,False,False,False,2.81,-57.24,1.34,3.94,,2.63,,,False,False,False,False,False,True
AFFLE,2023-02-08,-2.25,DPB20,DPB50,DPB200,DBECO,43.6,BLW BUCO,119.82,False,False,-3.75,2.07,-5.92,MPB20,MPA50,MPB200,MBUCO,52.7,ABV BECO,-63.49,False,False,-0.99,2.34,-3.22,WPB20,WPB50,WPB200,WBECO,41.64,BLW BECO,-6.13,False,False,-2.25,119.82,-1.82,-4.45,-8.52,-2.58,-6.58,-3.9,False,False,True,True,False,False,-5.92,-63.49,-3.49,21.03,,23.69,,,False,False,False,False,False,True,-3.22,-6.13,-7.05,-8.14,,-1.02,,,False,False,False,False,False,False
AIAENG,2023-02-08,-0.49,DPA20,DPA50,DPA200,DBUCO,64.02,ABV BUCO,93.89,False,False,1.57,7.12,1.07,MPA20,MPA50,MPB200,MBUCO,67.1,ABV BUCO,-75.85,False,False,-0.38,7.79,-0.87,WPA20,WPA50,WPA200,WBUCO,61.57,ABV BECO,-82.46,False,False,-0.49,93.89,4.09,5.28,12.25,1.24,8.51,7.36,False,False,True,True,False,False,1.07,-75.85,16.5,27.0,,12.58,,,True,True,False,False,False,False,-0.87,-82.46,6.64,13.48,30.59,7.33,25.66,19.78,False,False,False,False,False,False
AJANTPHARM,2023-02-08,2.35,DPA20,DPA50,DPB200,DBECO,57.28,ABV BUCO,-7.24,False,True,-1.45,-0.18,0.86,MPB20,MPA50,MPB200,MBUCO,49.11,ABV BECO,-80.35,False,False,1.49,-0.81,3.87,WPB20,WPB50,WPA200,WBECO,48.78,BLW BECO,-72.28,False,False,2.35,-7.24,2.45,1.49,-0.99,-0.98,-3.52,-2.52,True,True,False,False,False,False,0.86,-80.35,-1.96,6.58,,8.38,,,False,False,False,False,False,True,3.87,-72.28,-0.01,-2.24,10.39,-2.22,10.4,12.35,False,False,False,False,False,False
ALKEM,2023-02-08,3.62,DPA20,DPA50,DPA200,DBECO,68.8,ABV BUCO,746.72,False,False,1.93,0.22,5.63,MPA20,MPA50,MPB200,MBUCO,52.04,ABV BECO,-50.41,False,False,0.6,1.68,4.25,WPA20,WPA50,WPA200,WBECO,55.24,BLW BECO,-23.63,False,False,3.62,746.72,3.95,3.69,2.59,-0.27,-1.41,-1.14,True,True,False,False,False,False,5.63,-50.41,1.05,10.12,,9.17,,,True,True,False,False,False,True,4.25,-23.63,2.89,1.03,11.53,-1.92,8.89,10.61,True,True,False,False,False,False
ALKYLAMINE,2023-02-08,-0.78,DPB20,DPB50,DPB200,DBECO,41.91,BLW BUCO,15.92,False,False,0.37,-1.22,-0.41,MPB20,MPA50,MPB200,MBUCO,49.45,ABV BECO,-69.89,False,False,0.04,1.18,-0.74,WPB20,WPB50,WPA200,WBECO,38.45,BLW BECO,-47.51,False,False,-0.78,15.92,-1.5,-3.51,-8.06,-1.98,-6.47,-4.4,False,False,True,True,True,False,-0.41,-69.89,-6.06,17.95,,22.64,,,False,False,True,True,False,True,-0.74,-47.51,-5.23,-9.43,23.6,-3.99,27.4,30.18,False,False,False,False,False,False
AMARAJABAT,2023-02-08,0.54,DPA20,DPB50,DPA200,DBECO,51.22,BLW BUCO,1.73,False,False,3.84,-0.91,4.4,MPB20,MPB50,MPB200,MBECO,47.53,BLW BUCO,-59.52,False,True,-2.77,4.4,-2.24,WPA20,WPA50,WPB200,WBUCO,54.13,ABV BECO,-82.67,False,False,0.54,1.73,0.68,0.34,9.1,-0.34,8.47,8.79,False,False,False,False,False,False,4.4,-59.52,-0.47,-11.67,,-11.15,,,False,False,False,False,False,True,-2.24,-82.67,1.94,2.44,-13.67,0.51,-15.92,-16.51,False,False,False,False,False,False
AMBER,2023-02-08,0.38,DPB20,DPB50,DPB200,DBECO,45.47,BLW BECO,-47.71,False,False,-1.65,1.11,-1.27,MPB20,MPB50,MPB200,MBUCO,39.59,BLW BECO,-73.92,False,False,-0.98,-1.65,-0.61,WPB20,WPB50,WPB200,WBECO,32.19,BLW BUCO,-86.82,False,False,0.38,-47.71,-1.13,-3.03,-21.23,-1.87,-19.87,-17.67,False,False,False,False,False,False,-1.27,-73.92,-27.76,-16.09,,9.13,,,False,False,False,False,False,True,-0.61,-86.82,-7.7,-24.41,-14.81,-15.52,-6.6,7.72,False,False,True,True,False,False
AMBUJACEM,2023-02-08,0.16,DPB20,DPB50,DPB200,DBECO,33.14,BLW BECO,-56.63,False,False,-4.27,-23.45,-4.13,MPB20,MPA50,MPB200,MBUCO,50.26,ABV BECO,5.77,False,False,2.8,-1.8,2.96,WPB20,WPB50,WPA200,WBUCO,34.88,BLW BECO,-71.25,False,False,0.16,-56.63,-12.26,-24.95,-17.66,-11.31,-4.81,5.84,True,True,False,False,False,False,-4.13,5.77,-5.29,11.89,,16.32,,,False,False,True,True,True,False,2.96,-71.25,-24.23,-16.53,20.25,6.2,35.8,31.56,False,False,False,False,False,False
ANGELONE,2023-02-08,-0.68,DPB20,DPB50,DPB200,DBECO,30.64,BLW BECO,32.31,False,False,-4.87,-6.39,-5.51,MPB20,MPA50,MPB200,MBUCO,50.61,ABV BECO,-82.11,False,False,-3.75,2.67,-4.41,WPB20,WPB50,WPB200,WBECO,39.08,BLW BECO,-56.71,False,False,-0.68,32.31,-6.74,-13.58,-21.69,-6.4,-14.01,-7.14,False,False,True,True,True,False,-5.51,-82.11,-6.48,20.61,,25.45,,,False,False,True,True,False,True,-4.41,-56.71,-16.72,-16.89,,-0.15,,,False,False,False,False,False,False
ANURAS,2023-02-08,0.06,DPB20,DPB50,DPB200,DBECO,41.92,BLW BUCO,-56.22,False,False,4.03,-12.64,4.1,MPB20,MPB50,MPB200,MBUCO,63.01,ABV BECO,-46.06,False,False,7.02,-3.26,7.09,WPB20,WPB50,WPB200,WBECO,37.11,BLW BECO,184.11,False,False,0.06,-56.22,-0.81,-6.71,-16.19,-5.85,-15.26,-8.88,True,True,False,False,False,True,4.1,-46.06,-14.31,-4.49,,8.59,,,False,False,False,False,False,False,7.09,184.11,-10.36,-16.92,,-5.95,,,False,False,False,False,False,False
APLAPOLLO,2023-02-08,0.37,DPA20,DPA50,DPA200,DBUCO,58.92,ABV BUCO,10.82,False,False,3.16,4.73,3.54,MPA20,MPA50,MPB200,MBUCO,72.17,ABV BUCO,-69.5,False,False,0.55,2.99,0.92,WPA20,WPA50,WPA200,WBUCO,58.31,ABV BUCO,-44.91,False,False,0.37,10.82,2.28,4.23,13.08,2.0,11.05,9.24,False,False,False,False,False,False,3.54,-69.5,20.8,43.33,,28.45,,,True,True,False,False,False,True,0.92,-44.91,6.07,12.96,51.74,7.34,48.63,44.56,True,True,False,False,False,False
APLLTD,2023-02-08,0.76,DPB20,DPB50,DPB200,DBECO,29.6,BLW BECO,-61.26,False,False,-2.85,-6.05,-2.11,MPB20,MPB50,MPB200,MBECO,32.35,BLW BECO,-59.39,False,False,-2.29,-0.64,-1.54,WPB20,WPB50,WPB200,WBECO,28.86,BLW BECO,-21.1,False,False,0.76,-61.26,-3.33,-7.08,-22.63,-3.63,-18.67,-14.52,False,False,False,False,False,False,-2.11,-59.39,-28.25,-32.75,,-3.51,,,False,False,True,True,False,False,-1.54,-21.1,-10.57,-22.69,-41.73,-10.96,-28.18,-15.51,False,False,True,True,False,False
APOLLOHOSP,2023-02-08,1.75,DPA20,DPB50,DPA200,DBECO,53.97,BLW BUCO,-21.6,False,False,1.4,-4.95,3.18,MPA20,MPA50,MPB200,MBUCO,56.07,ABV BECO,-73.08,False,False,1.51,0.18,3.28,WPB20,WPA50,WPA200,WBUCO,49.94,ABV BECO,-67.04,False,False,1.75,-21.6,1.45,-0.37,3.45,-1.84,2.03,3.8,False,False,False,False,False,False,3.18,-73.08,5.55,25.59,,21.22,,,False,False,False,False,False,True,3.28,-67.04,-0.27,1.38,32.4,1.64,32.58,31.45,True,True,False,False,False,False
APOLLOTYRE,2023-02-08,1.39,DPA20,DPA50,DPA200,DBUCO,56.75,ABV BUCO,-56.39,False,False,2.15,-0.96,3.56,MPA20,MPA50,MPB200,MBUCO,71.33,ABV BUCO,-54.33,False,False,-0.64,7.1,0.74,WPA20,WPA50,WPA200,WBUCO,66.17,ABV BECO,-64.53,False,False,1.39,-56.39,2.44,4.64,21.71,2.26,19.75,17.89,False,False,False,False,False,False,3.56,-54.33,23.43,31.51,,10.54,,,False,False,False,False,False,False,0.74,-64.53,9.19,19.38,40.73,11.23,34.73,26.48,True,True,False,False,False,False
APTUS,2023-02-08,-0.93,DPB20,DPB50,DPB200,DBECO,32.86,BLW BECO,60.93,True,False,-0.97,-8.54,-1.89,MPB20,MPB50,MPB200,MBECO,19.13,BLW BECO,-54.94,False,False,0.11,-2.1,-0.82,WPB20,WPB50,WPB200,WBECO,38.94,BLW BECO,-47.59,False,False,-0.93,60.93,-4.19,-7.75,-10.37,-3.41,-5.93,-2.44,False,False,True,True,True,False,-1.89,-54.94,-16.56,-24.73,,-7.01,,,False,False,True,True,False,True,-0.82,-47.59,-9.0,-13.29,,-3.94,,,False,False,True,True,False,False
ASAHIINDIA,2023-02-08,-0.04,DPA20,DPB50,DPB200,DBECO,50.68,BLW BUCO,-23.17,False,False,1.39,-2.87,1.35,MPA20,MPA50,MPB200,MBUCO,56.73,ABV BECO,-76.8,False,False,1.01,3.97,0.97,WPB20,WPB50,WPA200,WBUCO,43.33,BLW BECO,-72.44,False,False,-0.04,-23.17,1.12,-3.2,-7.24,-4.36,-8.45,-3.92,False,False,False,False,False,False,1.35,-76.8,3.87,21.94,,18.8,,,False,False,False,False,False,True,0.97,-72.44,-6.2,-3.47,33.76,2.57,37.62,35.97,True,True,False,False,False,False
